"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","PID","START_TIME","trial","responses","view_history","x","y","actor","target_emotion"
"custom-labels-response","920","3534138","0.0-21.0-3.16","1321.4000000357628","","indecisive","","","tom-labels","","","","","8","indecisive"
"html-keyboard-response","921","3535147","0.0-21.0-0.17","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","922","3539470","0.0-21.0-1.17","","","","","","","","","","","",""
"image-keyboard-response","923","3539975","0.0-21.0-2.17","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","924","3541092","0.0-21.0-3.17","1114.9000000357628","","sympathetic","","","tom-labels","","","","","8","sympathetic"
"html-keyboard-response","925","3542101","0.0-21.0-0.18","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","926","3547247","0.0-21.0-1.18","","","","","","","","","","","",""
"image-keyboard-response","927","3547749","0.0-21.0-2.18","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","928","3548847","0.0-21.0-3.18","1097.7000000476837","","incredulous","","","tom-labels","","","","","2","incredulous"
"html-keyboard-response","929","3549861","0.0-21.0-0.19","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","930","3554295","0.0-21.0-1.19","","","","","","","","","","","",""
"image-keyboard-response","931","3554800","0.0-21.0-2.19","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","932","3556150","0.0-21.0-3.19","1347.800000011921","","amused","","","tom-labels","","","","","8","amused"
"html-keyboard-response","933","3557159","0.0-21.0-0.20","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","934","3561338","0.0-21.0-1.20","","","","","","","","","","","",""
"image-keyboard-response","935","3561841","0.0-21.0-2.20","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","936","3567794","0.0-21.0-3.20","5952.399999976158","","doubtful","","","tom-labels","","","","","8","dispirited"
"html-keyboard-response","937","3568807","0.0-21.0-0.21","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","938","3573429","0.0-21.0-1.21","","","","","","","","","","","",""
"image-keyboard-response","939","3573932","0.0-21.0-2.21","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","940","3575320","0.0-21.0-3.21","1386.8999999761581","","friendly","","","tom-labels","","","","","8","friendly"
"html-keyboard-response","941","3576328","0.0-21.0-0.22","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","942","3580535","0.0-21.0-1.22","","","","","","","","","","","",""
"image-keyboard-response","943","3581042","0.0-21.0-2.22","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","944","3582096","0.0-21.0-3.22","1052.699999988079","","aghast","","","tom-labels","","","","","8","aghast"
"html-keyboard-response","945","3583105","0.0-21.0-0.23","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","946","3588176","0.0-21.0-1.23","","","","","","","","","","","",""
"image-keyboard-response","947","3588689","0.0-21.0-2.23","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","948","3589694","0.0-21.0-3.23","1004.1000000238419","","fearful","","","tom-labels","","","","","2","fearful"
"html-keyboard-response","949","3590702","0.0-21.0-0.24","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","950","3595107","0.0-21.0-1.24","","","","","","","","","","","",""
"image-keyboard-response","951","3595611","0.0-21.0-2.24","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","952","3597055","0.0-21.0-3.24","1443.199999988079","","defiant","","","tom-labels","","","","","8","defiant"
"html-keyboard-response","953","3598065","0.0-21.0-0.25","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","954","3602805","0.0-21.0-1.25","","","","","","","","","","","",""
"image-keyboard-response","955","3603317","0.0-21.0-2.25","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","956","3605466","0.0-21.0-3.25","2148.600000023842","","enthused","","","tom-labels","","","","","2","enthused"
"html-keyboard-response","957","3606471","0.0-21.0-0.26","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","958","3610731","0.0-21.0-1.26","","","","","","","","","","","",""
"image-keyboard-response","959","3611234","0.0-21.0-2.26","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","960","3612575","0.0-21.0-3.26","1339.800000011921","","dominant","","","tom-labels","","","","","8","dominant"
"html-keyboard-response","961","3613580","0.0-21.0-0.27","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","962","3618654","0.0-21.0-1.27","","","","","","","","","","","",""
"image-keyboard-response","963","3619156","0.0-21.0-2.27","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","964","3620214","0.0-21.0-3.27","1057","","preoccupied","","","tom-labels","","","","","8","preoccupied"
"html-keyboard-response","965","3621222","0.0-21.0-0.28","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","966","3625658","0.0-21.0-1.28","","","","","","","","","","","",""
"image-keyboard-response","967","3626171","0.0-21.0-2.28","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","968","3627139","0.0-21.0-3.28","965.7999999523163","","decisive","","","tom-labels","","","","","8","decisive"
"html-keyboard-response","969","3628145","0.0-21.0-0.29","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","970","3632988","0.0-21.0-1.29","","","","","","","","","","","",""
"image-keyboard-response","971","3633505","0.0-21.0-2.29","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","972","3634467","0.0-21.0-3.29","960.7999999523163","","preoccupied","","","tom-labels","","","","","2","preoccupied"
"html-keyboard-response","973","3635468","0.0-22.0-0.0","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
